,Adj Close,Adj Close,Adj Close,Close,Close,Close,High,High,High,Low,Low,Low,Open,Open,Open,Volume,Volume,Volume
,AAPL,AMZN,GOOG,AAPL,AMZN,GOOG,AAPL,AMZN,GOOG,AAPL,AMZN,GOOG,AAPL,AMZN,GOOG,AAPL,AMZN,GOOG
Date,,,,,,,,,,,,,,,,,,
2000-01-03,0.8506432175636292,4.46875,,0.9994419813156128,4.46875,,1.004464030265808,4.478125095367432,,0.9079239964485168,3.9523439407348633,,0.9363840222358704,4.074999809265137,,535796800,322352000,
2000-01-04,0.7789257764816284,4.096875190734863,,0.9151790142059326,4.096875190734863,,0.9877229928970337,4.574999809265137,,0.9034600257873535,4.087500095367432,,0.966517984867096,4.268750190734863,,512377600,349748000,
2000-01-05,0.790323793888092,3.487499952316284,,0.9285709857940674,3.487499952316284,,0.9871649742126465,3.7562499046325684,,0.919642984867096,3.4000000953674316,,0.9263389706611633,3.5250000953674316,,778321600,769148000,
2000-01-06,0.721930742263794,3.278125047683716,,0.8482139706611633,3.278125047683716,,0.955357015132904,3.6343750953674316,,0.8482139706611633,3.200000047683716,,0.9475449919700623,3.565624952316284,,767972800,375040000,
2000-01-07,0.7561274170875549,3.4781250953674316,,0.888392984867096,3.4781250953674316,,0.9017860293388367,3.5250000953674316,,0.8526790142059326,3.309375047683716,,0.861607015132904,3.3499999046325684,,460734400,210108000,
2000-01-10,0.7428286671638489,3.4593749046325684,,0.872767984867096,3.4593749046325684,,0.9129459857940674,3.6312499046325684,,0.845982015132904,3.278125047683716,,0.9107139706611633,3.628124952316284,,505064000,295158000,
2000-01-11,0.7048323750495911,3.3375000953674316,,0.828125,3.3375000953674316,,0.8872770071029663,3.5,,0.8080360293388367,3.25,,0.8565850257873535,3.34375,,441548800,210654000,
2000-01-12,0.6625618934631348,3.1781249046325684,,0.7784600257873535,3.1781249046325684,,0.8526790142059326,3.4000000953674316,,0.7723209857940674,3.1500000953674316,,0.8482139706611633,3.393749952316284,,976068800,216090000,
2000-01-13,0.7352291941642761,3.296875,,0.8638389706611633,3.296875,,0.8816959857940674,3.359375,,0.825892984867096,3.15625,,0.8436099886894226,3.246875047683716,,1032684800,208962000,
2000-01-14,0.7632513642311096,3.2125000953674316,,0.896763026714325,3.2125000953674316,,0.9129459857940674,3.4312500953674316,,0.8872770071029663,3.200000047683716,,0.892857015132904,3.3375000953674316,,390376000,137072000,
2000-01-18,0.7898488640785217,3.206249952316284,,0.928013026714325,3.206249952316284,,0.9464290142059326,3.2593750953674316,,0.896763026714325,3.1500000953674316,,0.9017860293388367,3.171875,,459177600,107698000,
2000-01-19,0.8097972869873047,3.340625047683716,,0.9514510035514832,3.340625047683716,,0.970982015132904,3.375,,0.9229909777641296,3.1500000953674316,,0.9430800080299377,3.206249952316284,,597643200,164910000,
2000-01-20,0.8625173568725586,3.237499952316284,,1.0133930444717407,3.237499952316284,,1.0848209857940674,3.3499999046325684,,1.0133930444717407,3.1968750953674316,,1.03125,3.346874952316284,,1831132800,119560000,
2000-01-21,0.8458941578865051,3.1031250953674316,,0.993861973285675,3.1031250953674316,,1.020089030265808,3.231250047683716,,0.9838169813156128,3.0,,1.020089030265808,3.231250047683716,,495924800,229238000,
2000-01-24,0.8074229955673218,3.5062499046325684,,0.9486610293388367,3.5062499046325684,,1.0066959857940674,3.668750047683716,,0.9386159777641296,3.375,,0.9681919813156128,3.378124952316284,,440876800,583404000,
2000-01-25,0.8530181646347046,3.4625000953674316,,1.0022319555282593,3.4625000953674316,,1.010045051574707,3.5625,,0.9140629768371582,3.299999952316284,,0.9375,3.5,,497145600,188682000,
